address,balance_lamports,balance_sol,data_size
Bvx3J7eJW4eYqS9M4RhbSb2KKYTUv3rKnVs7da6vLuki,459248640,0.45924864,65856
8JY39rTxvt2oY8wvsqwzZ1fTwPMv9uPBmWhCGmUo7Jot,459248640,0.45924864,65856
CNsHrUmBSL3xV4NJLsXmCH4cbPCPyWhuqLjptAAtzUmH,459248640,0.45924864,65856
4vW4m1Uxq42ngWPrnyPPoAKzqQsinBiD2ussmWcJUkU6,459248640,0.45924864,65856
A7EB9iWonz5s9kCJfpqrYUr5P3LiVvro1VT4nYt9WVa9,459248640,0.45924864,65856
4qjcXSU286ZABAMHUma9p2JQz89tGXiUCwt75gH798Rb,459248640,0.45924864,65856
EDaoun4szPGHbxLQB64ydwLhDBfnUBRX4YuibUGW2UnY,459248640,0.45924864,65856
AKEP5soY8vqt5YW5g88n8qkU9NqvW7sXhhvBrGv5Rrx7,459248640,0.45924864,65856
FemuJzHf1YK4ZXm5k6bCKErhzm5p5Lhgb5No2SfkxvJ5,459248640,0.45924864,65856
CHFeNakFGk72NeCdLvgjRnyRckdLAQCSLSiwRhWCdPQL,459248640,0.45924864,65856
DenQSy9f269BhD7DVEj2MaQ6bNGcMDUSJQA2Dw56o7Rn,459248640,0.45924864,65856
BNhMxEGaK5kkjgMbmiZquAR4ZdttWJieKNXscLJAH14F,459248640,0.45924864,65856
BeTbfyK2tCEQkrZ7AbMkc4himso3XicRphVqmZUuCRxk,459248640,0.45924864,65856
3fgXj6bCDMPkwFkns7zmj3sFbbVLz3Y3dpjVNQLuNTVn,459248640,0.45924864,65856
FL7i5UhcNjxHFThceqDje2Z1FrsiFrYdEdkqe37JJc9J,459248640,0.45924864,65856
Dp4i7p1a6BLFJsHmqM5HqxgyjQCkNDWKuN8rEWagX53E,459248640,0.45924864,65856
7CqZ227p7qbqKVGEFPXYnjAdSR1qP8ZMDY2awRyAm8Tz,459248640,0.45924864,65856
5daptjugfKYbsALZqSv5KS4zqkEpMjM9zc1SEsD6HEWZ,459248640,0.45924864,65856
5YfMQiK9HBN6gDo5amjXg577V4A4ZZcwYnPx8Ytx7rPv,459248640,0.45924864,65856
4RAKjoZDX9eV3nhtByoUJP7TSgx6SUqojBuP1Sc4S29b,459248640,0.45924864,65856
HNrC8zQek9u6fJdLQ16h2PJduV7nroBduc2MRXLBXKH7,459248640,0.45924864,65856
HsfgfLNxeq57uAmiguburVQwLk2LzwLvX4VvweMXL9aR,459248640,0.45924864,65856
4h6thdTZ84AyqjRaeH1wkZbntzA5ZuoHTy8ycF1Tbdsd,459248640,0.45924864,65856
s5aopuWhekm7KkhuqnKZMwkGYKmZjeKstiHeHe9WAfU,459248640,0.45924864,65856
9CRpyjeHyqHvn5ZeCq7VWS3PAuNNrgtQSd8Sy8X4B7Su,459248640,0.45924864,65856
6VzH7hjV3eUNUjMDywsLBzBxMGuPS6wjpJ6eJSQVHwBp,459248640,0.45924864,65856
3MxWujZwyKQNcBSrE3gZRPXzAR8oG6YDqX3nzLyoJBhP,459248640,0.45924864,65856
Bi2chTdkKfQpquShEQYMUea5mJtjMKm4V2TLL7kcau1Q,459248640,0.45924864,65856
3NUnDBhXNJSDq1Utc4zqh4vVoPY1PxPPzDH9sEEeVgMY,459248640,0.45924864,65856
BugkQyquJxi7TnjKzG3qKVnkM1jsPLBiEawpU99QXCt4,459248640,0.45924864,65856
